gene,Position,Gene synonym,Ensembl,Gene description
LY6G6F,chr6:31706866-31710679,"C6orf21, G6f, LY6G6D, NG32",ENSG00000204424,Lymphocyte antigen 6 family member G6F
LY6G6F-LY6G6D,chr6:31706904-31717918,"G6F-LY6G6D, MEGT-1, MEGT1",ENSG00000250641,LY6G6F-LY6G6D readthrough
LY6H,chr8:143157914-143160711,NMLY6,ENSG00000176956,Lymphocyte antigen 6 family member H
LY6K,chr8:142700111-142705127,"CT97, FLJ35226, HSJ001348",ENSG00000160886,Lymphocyte antigen 6 family member K
LY6L,chr8:143080630-143083486,NA,ENSG00000261667,Lymphocyte antigen 6 family member L
LY6S,chr8:143041844-143045678,NA,ENSG00000291309,Lymphocyte antigen 6 family member S
LY75,chr2:159803355-159904756,"CD205, CLEC13B, DEC-205",ENSG00000054219,Lymphocyte antigen 75
LY75-CD302,chr2:159771851-159904710,NA,ENSG00000248672,LY75-CD302 readthrough
LY86,chr6:6588108-6654983,"dJ80N2.1, MD-1",ENSG00000112799,Lymphocyte antigen 86
LY9,chr1:160796074-160828261,"CD229, hly9, mLY9, SLAMF3",ENSG00000122224,Lymphocyte antigen 9
LY96,chr8:73991392-74029079,MD-2,ENSG00000154589,Lymphocyte antigen 96
LYAR,chr4:4267701-4290154,"ZC2HC2, ZLYAR",ENSG00000145220,Ly1 antibody reactive
LYG1,chr2:99284238-99304742,"LYGA1, SALW1939",ENSG00000144214,Lysozyme g1
LYG2,chr2:99242246-99255666,"LYGA2, LYGH",ENSG00000185674,Lysozyme g2
LYL1,chr19:13099033-13103161,bHLHa18,ENSG00000104903,LYL1 basic helix-loop-helix family member
LYN,chr8:55879835-56014169,JTK8,ENSG00000254087,"LYN proto-oncogene, Src family tyrosine kinase"
LYNX1,chr8:142771197-142777810,SLURP2,ENSG00000180155,Ly6/neurotoxin 1
LYNX1-SLURP2,chr8:142764334-142778224,NA,ENSG00000284505,LYNX1-SLURP2 readthrough
LYPD1,chr2:132643286-132671579,"LYPDC1, MGC29643",ENSG00000150551,LY6/PLAUR domain containing 1
LYPD2,chr8:142750150-142752532,"LYPDC2, RGTR430, UNQ430",ENSG00000197353,LY6/PLAUR domain containing 2
LYPD3,chr19:43460787-43465608,C4.4A,ENSG00000124466,LY6/PLAUR domain containing 3
LYPD4,chr19:41837074-41844697,MGC42718,ENSG00000273111,LY6/PLAUR domain containing 4
LYPD5,chr19:43785874-43827206,FLJ30469,ENSG00000159871,LY6/PLAUR domain containing 5
LYPD6,chr2:149329985-149474138,MGC52057,ENSG00000187123,LY6/PLAUR domain containing 6
LYPD6B,chr2:149038107-149215262,"CT116, LYPD7",ENSG00000150556,LY6/PLAUR domain containing 6B
LYPD8,chr1:248739415-248755759,NA,ENSG00000259823,LY6/PLAUR domain containing 8
LYPLA1,chr8:54046367-54102017,"APT-1, LPL1",ENSG00000120992,Lysophospholipase 1
LYPLA2,chr1:23791145-23795539,APT-2,ENSG00000011009,Lysophospholipase 2
LYPLAL1,chr1:219173869-219212865,Q96AV0,ENSG00000143353,Lysophospholipase like 1
LYRM1,chr16:20899868-20925006,A211C6.1,ENSG00000102897,LYR motif containing 1
LYRM2,chr6:89568144-89638749,DJ122O8.2,ENSG00000083099,LYR motif containing 2
LYRM4,chr6:5103629-5260950,"C6orf149, CGI-203, ISD11",ENSG00000214113,LYR motif containing 4
LYRM7,chr5:131170944-131205428,"C5orf31, FLJ20796, MZM1L",ENSG00000186687,LYR motif containing 7
LYRM9,chr17:27878314-27894752,"C17orf108, HSD24",ENSG00000232859,LYR motif containing 9
LYSMD1,chr1:151159748-151165948,"MGC35223, RP11-68I18.5, SB145",ENSG00000163155,LysM domain containing 1
LYSMD2,chr15:51723011-51751585,MGC35274,ENSG00000140280,LysM domain containing 2
LYSMD3,chr5:90515611-90529584,FLJ13542,ENSG00000176018,LysM domain containing 3
LYSMD4,chr15:99715697-99733561,FLJ33008,ENSG00000183060,LysM domain containing 4
LYST,chr1:235661041-235883724,"CHS, CHS1, Mauve",ENSG00000143669,Lysosomal trafficking regulator
LYVE1,chr11:10556966-10611689,"LYVE-1, XLKD1",ENSG00000133800,Lymphatic vessel endothelial hyaluronan receptor 1
LYZ,chr12:69348381-69354234,NA,ENSG00000090382,Lysozyme
LYZL1,chr10:29289061-29318328,"LYC2, MGC33408",ENSG00000120563,Lysozyme like 1
LYZL2,chr10:30611779-30629762,NA,ENSG00000151033,Lysozyme like 2
LYZL4,chr3:42397083-42410610,"LYC4, MGC26768",ENSG00000157093,Lysozyme like 4
LYZL6,chr17:35934518-35943713,"LYC1, PRO1485, TKAL754",ENSG00000275722,Lysozyme like 6
LZIC,chr1:9922113-9943407,MGC15436,ENSG00000162441,Leucine zipper and CTNNBIP1 domain containing
LZTFL1,chr3:45823316-45916042,BBS17,ENSG00000163818,Leucine zipper transcription factor like 1
LZTR1,chr22:20982269-20999032,"BTBD29, LZTR-1",ENSG00000099949,Leucine zipper like transcription regulator 1
LZTS1,chr8:20246165-20303963,FEZ1,ENSG00000061337,Leucine zipper tumor suppressor 1
LZTS2,chr10:100996618-101007836,"KIAA1813, LAPSER1",ENSG00000107816,Leucine zipper tumor suppressor 2
LZTS3,chr20:3162617-3173549,"KIAA0552, ProSAPiP1",ENSG00000088899,Leucine zipper tumor suppressor family member 3
M1AP,chr2:74557883-74648338,"C2orf65, D6Mm5e, SPATA37",ENSG00000159374,Meiosis 1 associated protein
M6PR,chr12:8940361-8949761,"CD-M6PR, CD-MPR",ENSG00000003056,"Mannose-6-phosphate receptor, cation dependent"
MAB21L1,chr13:35473419-35478764,CAGR1,ENSG00000180660,Mab-21 like 1
MAB21L2,chr4:150582151-150584693,NA,ENSG00000181541,Mab-21 like 2
MAB21L3,chr1:116111399-116138149,"C1orf161, FLJ38716",ENSG00000173212,Mab-21 like 3
MAB21L4,chr2:240886048-240896889,"C2orf54, FLJ22671",ENSG00000172478,Mab-21 like 4
MACC1,chr7:20134655-20217404,"7A5, SH3BP4L",ENSG00000183742,MET transcriptional regulator MACC1
MACF1,chr1:39081316-39487177,"ABP620, ACF7, FLJ45612, FLJ46776, KIAA0465, KIAA0754, KIAA1251, Lnc-PMIF, MACF",ENSG00000127603,Microtubule actin crosslinking factor 1
MACIR,chr5:103258763-103278660,"C5orf30, FLJ25291",ENSG00000181751,Macrophage immunometabolism regulator
MACO1,chr1:25430858-25500209,"FLJ10747, TMEM57",ENSG00000204178,Macoilin 1
MACROD1,chr11:63998558-64166113,LRP16,ENSG00000133315,Mono-ADP ribosylhydrolase 1
MACROD2,chr20:13995369-16053197,"C20orf133, dJ631M13.5",ENSG00000172264,Mono-ADP ribosylhydrolase 2
MACROH2A1,chr5:135334381-135399914,"H2AFY, macroH2A1.2",ENSG00000113648,MacroH2A.1 histone
MACROH2A2,chr10:70052544-70112282,H2AFY2,ENSG00000099284,MacroH2A.2 histone
MAD1L1,chr7:1815793-2233243,"HsMAD1, MAD1, PIG9, TP53I9, TXBP181",ENSG00000002822,Mitotic arrest deficient 1 like 1
MAD2L1,chr4:120055623-120066858,"HSMAD2, MAD2",ENSG00000164109,Mitotic arrest deficient 2 like 1
MAD2L1BP,chr6:43629540-43640941,"CMT2, dJ261G23.1, KIAA0110",ENSG00000124688,MAD2L1 binding protein
MAD2L2,chr1:11658918-11691811,"FANCV, MAD2B, POLZ2, REV7",ENSG00000116670,Mitotic arrest deficient 2 like 2
MADCAM1,chr19:489176-505343,MACAM1,ENSG00000099866,Mucosal vascular addressin cell adhesion molecule 1
MADD,chr11:47269161-47330031,"DENN, KIAA0358, RAB3GEP",ENSG00000110514,MAP kinase activating death domain
MAEA,chr4:1289887-1340147,"EMP, GID9, HLC-10, p44EMLP",ENSG00000090316,"Macrophage erythroblast attacher, E3 ubiquitin ligase"
MAEL,chr1:166975582-167022214,"CT128, FLJ14904, SPATA35",ENSG00000143194,Maelstrom spermatogenic transposon silencer
MAF,chr16:79585843-79600737,c-MAF,ENSG00000178573,MAF bZIP transcription factor
MAF1,chr8:144104461-144107611,DKFZp586G1123,ENSG00000179632,"MAF1 homolog, negative regulator of RNA polymerase III"
MAFA,chr8:143419182-143430732,"hMafA, RIPE3b1",ENSG00000182759,MAF bZIP transcription factor A
MAFB,chr20:40685848-40689236,KRML,ENSG00000204103,MAF bZIP transcription factor B
MAFF,chr22:38200767-38216507,hMafF,ENSG00000185022,MAF bZIP transcription factor F
MAFG,chr17:81918270-81927735,"MGC13090, MGC20149",ENSG00000197063,MAF bZIP transcription factor G
MAFK,chr7:1530702-1543043,"NFE2U, P18",ENSG00000198517,MAF bZIP transcription factor K
MAG,chr19:35292125-35313807,"GMA, S-MAG, SIGLEC-4A, SIGLEC4A",ENSG00000105695,Myelin associated glycoprotein
MAGEA1,chrX:153179284-153183880,"CT1.1, MAGE1, MGC9326",ENSG00000198681,MAGE family member A1
MAGEA10,chrX:152133310-152138578,"CT1.10, MAGE10, MGC10599",ENSG00000124260,MAGE family member A10
MAGEA11,chrX:149688228-149717268,"CT1.11, MAGE-11, MAGE11, MAGEA-11, MGC10511",ENSG00000185247,MAGE family member A11
MAGEA12,chrX:152733757-152737669,"CT1.12, MAGE12",ENSG00000213401,MAGE family member A12
MAGEA2,chrX:152749863-152753884,"CT1.2, MAGE2, MAGEA2A",ENSG00000268606,MAGE family member A2
MAGEA2B,chrX:152714586-152718607,"MAGE2, MAGEA2, MGC16973",ENSG00000183305,MAGE family member A2B
MAGEA3,chrX:152698767-152702347,"CT1.3, HIP8, HYPD, MAGE3, MGC14613",ENSG00000221867,MAGE family member A3
MAGEA4,chrX:151912495-151925171,"CT1.4, MAGE-41, MAGE-X2, MAGE4, MAGE4A, MAGE4B, MGC21336",ENSG00000147381,MAGE family member A4
MAGEA6,chrX:152766136-152769716,"CT1.6, MAGE-3b, MAGE3B, MAGE6",ENSG00000197172,MAGE family member A6
MAGEA8,chrX:149881141-149885835,"CT1.8, MAGE8, MGC2182",ENSG00000156009,MAGE family member A8
MAGEA9,chrX:149781930-149787737,"CT1.9, MAGE9, MGC8421",ENSG00000123584,MAGE family member A9
MAGEA9B,chrX:149581653-149587459,NA,ENSG00000267978,MAGE family member A9B
MAGEB1,chrX:30243715-30252040,"CT3.1, DAM10, MAGE-Xp, MAGEL1, MGC9322",ENSG00000214107,MAGE family member B1
MAGEB10,chrX:27807990-27823014,FLJ32965,ENSG00000177689,MAGE family member B10
MAGEB16,chrX:35798342-35803772,NA,ENSG00000189023,MAGE family member B16
MAGEB17,chrX:16167481-16171464,NA,ENSG00000182798,MAGE family member B17
MAGEB18,chrX:26138343-26140736,MGC33889,ENSG00000176774,MAGE family member B18
MAGEB2,chrX:30215563-30220089,"CT3.2, DAM6, MAGE-XP-2, MGC26438",ENSG00000099399,MAGE family member B2
MAGEB3,chrX:30230657-30237495,CT3.5,ENSG00000198798,MAGE family member B3
MAGEB4,chrX:30242000-30244187,"CT3.6, MGC33144",ENSG00000120289,MAGE family member B4
MAGEB5,chrX:26216169-26218270,"CT3.3, MAGE-B5",ENSG00000188408,MAGE family member B5
MAGEB6,chrX:26192440-26195646,"CT3.4, FLJ40242, MAGE-B6, MAGEB6A",ENSG00000176746,MAGE family member B6
MAGEB6B,chrX:26160601-26162410,MAGEB6P1,ENSG00000232030,MAGE family member B6B
MAGEC1,chrX:141903894-141909374,"CT7, CT7.1, MAGE-C1, MGC39366",ENSG00000155495,MAGE family member C1
MAGEC2,chrX:142202342-142205290,"CT10, HCA587, MAGE-C2, MAGEE1",ENSG00000046774,MAGE family member C2
MAGEC3,chrX:141838316-141897832,"CT7.2, HCA2, MAGE-C3",ENSG00000165509,MAGE family member C3
MAGED1,chrX:51803007-51902354,"DLXIN-1, NRAGE",ENSG00000179222,MAGE family member D1
MAGED2,chrX:54807599-54816015,"11B6, BCG1, HCA10, JCL-1, MAGE-D2, MAGED, MGC8386",ENSG00000102316,MAGE family member D2
MAGED4,chrX:52184876-52192268,"KIAA1859, MAGE-E1, MAGE1, MGC3210",ENSG00000154545,MAGE family member D4
MAGED4B,chrX:52061827-52069219,NA,ENSG00000187243,MAGE family member D4B
MAGEE1,chrX:76427710-76431342,"DAMAGE, KIAA1587",ENSG00000198934,MAGE family member E1
MAGEE2,chrX:75782987-75785254,HCA3,ENSG00000186675,MAGE family member E2
MAGEF1,chr3:184710364-184712064,NA,ENSG00000177383,MAGE family member F1
MAGEH1,chrX:55452127-55453566,1-Apr,ENSG00000187601,MAGE family member H1
MAGEL2,chr15:23643549-23647867,"NDNL1, nM15",ENSG00000254585,MAGE family member L2
MAGI1,chr3:65353525-66038918,"AIP3, BAIAP1, BAP1, MAGI-1, TNRC19, WWP3",ENSG00000151276,"Membrane associated guanylate kinase, WW and PDZ domain containing 1"
MAGI2,chr7:78017055-79453667,"ACVRIP1, AIP1, ARIP1, KIAA0705, MAGI-2",ENSG00000187391,"Membrane associated guanylate kinase, WW and PDZ domain containing 2"
MAGI3,chr1:113390515-113685923,MAGI-3,ENSG00000081026,"Membrane associated guanylate kinase, WW and PDZ domain containing 3"
MAGIX,chrX:49162564-49168774,"FLJ21687, JM10, PDZX",ENSG00000269313,"MAGI family member, X-linked"
MAGOH,chr1:53226900-53238518,"MAGOH1, MAGOHA",ENSG00000162385,"Mago homolog, exon junction complex subunit"
MAGOHB,chr12:10604193-10613609,"FLJ10292, MGN2",ENSG00000111196,"Mago homolog B, exon junction complex subunit"
MAGT1,chrX:77825747-77899271,"DKFZp564K142, IAP, MRX95, OST3B, SLC58A1",ENSG00000102158,Magnesium transporter 1
MAIP1,chr2:199955317-200008540,"C2orf47, DKFZp666A212, FLJ22555",ENSG00000162972,Matrix AAA peptidase interacting protein 1
MAJIN,chr11:64937517-64972108,C11orf85,ENSG00000168070,Membrane anchored junction protein
MAK,chr6:10762723-10838553,"dJ417M14.2, RP62",ENSG00000111837,Male germ cell associated kinase
MAK16,chr8:33485182-33501262,"MAK16L, RBM13",ENSG00000198042,MAK16 homolog
MAL,chr2:95025677-95053992,"MVP17, VIP17",ENSG00000172005,"Mal, T cell differentiation protein"
MAL2,chr8:119165034-119245673,NA,ENSG00000147676,"Mal, T cell differentiation protein 2"
MALL,chr2:110083870-110116022,BENE,ENSG00000144063,"Mal, T cell differentiation protein like"
MALRD1,chr10:19048801-19790401,"bA265G8.2, C10orf112, Diet1",ENSG00000204740,MAM and LDL receptor class A domain containing 1
MALSU1,chr7:23298739-23311729,"C7orf30, mtRsfA",ENSG00000156928,Mitochondrial assembly of ribosomal large subunit 1
MALT1,chr18:58671465-58754477,"MLT, PCASP1",ENSG00000172175,MALT1 paracaspase
MAMDC2,chr9:70043848-70226972,MGC21981,ENSG00000165072,MAM domain containing 2
MAMDC4,chr9:136850943-136860799,"AEGP, DKFZp434M1411, EDTB",ENSG00000177943,MAM domain containing 4
MAML1,chr5:179732822-179777283,"KIAA0200, Mam-1",ENSG00000161021,Mastermind like transcriptional coactivator 1
MAML2,chr11:95976598-96343195,"KIAA1819, MAM3",ENSG00000184384,Mastermind like transcriptional coactivator 2
MAML3,chr4:139716753-140154184,"CAGH3, GDN, KIAA1816, MAM2, TNRC3",ENSG00000196782,Mastermind like transcriptional coactivator 3
MAMLD1,chrX:150361422-150514178,"CG1, CXorf6, F18",ENSG00000013619,Mastermind like domain containing 1
MAMSTR,chr19:48712725-48719725,"FLJ36070, MASTR",ENSG00000176909,MEF2 activating motif and SAP domain containing transcriptional regulator
MAN1A1,chr6:119177205-119349761,NA,ENSG00000111885,Mannosidase alpha class 1A member 1
MAN1A2,chr1:117367449-117528872,MAN1B,ENSG00000198162,Mannosidase alpha class 1A member 2
MAN1B1,chr9:137086857-137109189,"ERMan1, ERManI, MANA-ER, MRT15",ENSG00000177239,Mannosidase alpha class 1B member 1
MAN1C1,chr1:25616791-25786206,HMIC,ENSG00000117643,Mannosidase alpha class 1C member 1
MAN2A1,chr5:109689927-109869625,"GOLIM7, MANA2",ENSG00000112893,Mannosidase alpha class 2A member 1
MAN2A2,chr15:90902218-90922584,"HsT19662, MANA2X",ENSG00000196547,Mannosidase alpha class 2A member 2
MAN2B1,chr19:12646511-12666742,"LAMAN, MANB",ENSG00000104774,Mannosidase alpha class 2B member 1
MAN2B2,chr4:6575189-6623362,"EpMAN, KIAA0935",ENSG00000013288,Mannosidase alpha class 2B member 2
MAN2C1,chr15:75355207-75368612,"MANA, MANA1",ENSG00000140400,Mannosidase alpha class 2C member 1
MANBA,chr4:102630770-102760994,NA,ENSG00000109323,Mannosidase beta
MANBAL,chr20:37289649-37317260,dJ1141E15.2,ENSG00000101363,Mannosidase beta like
MANEA,chr6:95577485-95609470,"FLJ12838, mandaselin",ENSG00000172469,Mannosidase endo-alpha
MANEAL,chr1:37793847-37801137,FLJ31434,ENSG00000185090,Mannosidase endo-alpha like
MANF,chr3:51385291-51389397,"ARMET, ARP",ENSG00000145050,Mesencephalic astrocyte derived neurotrophic factor
MANSC1,chr12:12326056-12350242,"FLJ10298, LOH12CR3",ENSG00000111261,MANSC domain containing 1
MANSC4,chr12:27762427-27780236,NA,ENSG00000205693,MANSC domain containing 4
MAOA,chrX:43654907-43746817,NA,ENSG00000189221,Monoamine oxidase A
MAOB,chrX:43766610-43882450,NA,ENSG00000069535,Monoamine oxidase B
MAP10,chr1:232805416-232809929,"KIAA1383, MTR120",ENSG00000212916,Microtubule associated protein 10
MAP1A,chr15:43510958-43531620,MAP1L,ENSG00000166963,Microtubule associated protein 1A
MAP1B,chr5:72107234-72209565,"MAP5, PPP1R102",ENSG00000131711,Microtubule associated protein 1B
MAP1LC3A,chr20:34546854-34560345,"ATG8E, LC3, LC3A, MAP1ALC3, MAP1BLC3",ENSG00000101460,Microtubule associated protein 1 light chain 3 alpha
MAP1LC3B,chr16:87383953-87404779,ATG8F,ENSG00000140941,Microtubule associated protein 1 light chain 3 beta
MAP1LC3B2,chr12:116548105-116576606,ATG8G,ENSG00000258102,Microtubule associated protein 1 light chain 3 beta 2
MAP1LC3C,chr1:241995490-241999098,ATG8J,ENSG00000197769,Microtubule associated protein 1 light chain 3 gamma
MAP1S,chr19:17719242-17734513,"BPY2IP1, C19orf5, FLJ10669, MAP8, VCY2IP1",ENSG00000130479,Microtubule associated protein 1S
MAP2,chr2:209424047-209734147,"MAP2A, MAP2B, MAP2C",ENSG00000078018,Microtubule associated protein 2
MAP2K1,chr15:66386837-66491656,"MAPKK1, MEK1, PRKMK1",ENSG00000169032,Mitogen-activated protein kinase kinase 1
MAP2K2,chr19:4090321-4124122,"MEK2, PRKMK2",ENSG00000126934,Mitogen-activated protein kinase kinase 2
MAP2K3,chr17:21284672-21315232,"MAPKK3, MEK3, MKK3, PRKMK3",ENSG00000034152,Mitogen-activated protein kinase kinase 3
MAP2K4,chr17:12020829-12143830,"JNKK1, MEK4, MKK4, PRKMK4, SERK1",ENSG00000065559,Mitogen-activated protein kinase kinase 4
MAP2K5,chr15:67542703-67807117,"HsT17454, MAPKK5, MEK5, PRKMK5",ENSG00000137764,Mitogen-activated protein kinase kinase 5
MAP2K6,chr17:69414697-69553865,"MAPKK6, MEK6, MKK6, PRKMK6, SAPKK3",ENSG00000108984,Mitogen-activated protein kinase kinase 6
MAP2K7,chr19:7903843-7914478,"Jnkk2, MKK7, PRKMK7",ENSG00000076984,Mitogen-activated protein kinase kinase 7
MAP3K1,chr5:56815549-56896152,"MAPKKK1, MEKK, MEKK1",ENSG00000095015,Mitogen-activated protein kinase kinase kinase 1
MAP3K10,chr19:40191426-40215575,"MEKK10, MLK2, MST",ENSG00000130758,Mitogen-activated protein kinase kinase kinase 10
MAP3K11,chr11:65597756-65615382,"MEKK11, MLK3, PTK1, SPRK",ENSG00000173327,Mitogen-activated protein kinase kinase kinase 11
MAP3K12,chr12:53479669-53500063,"DLK, MEKK12, MUK, ZPK, ZPKP1",ENSG00000139625,Mitogen-activated protein kinase kinase kinase 12
MAP3K13,chr3:185282941-185489094,"LZK, MEKK13",ENSG00000073803,Mitogen-activated protein kinase kinase kinase 13
MAP3K14,chr17:45263119-45317029,"FTDCR1B, HS, HSNIK, NIK",ENSG00000006062,Mitogen-activated protein kinase kinase kinase 14
MAP3K15,chrX:19360056-19515508,"ASK3, bA723P2.3, FLJ16518",ENSG00000180815,Mitogen-activated protein kinase kinase kinase 15
MAP3K19,chr2:134964485-135047468,"FLJ23074, RCK, YSK4",ENSG00000176601,Mitogen-activated protein kinase kinase kinase 19
MAP3K2,chr2:127298668-127388465,"MEKK2, MEKK2B",ENSG00000169967,Mitogen-activated protein kinase kinase kinase 2
MAP3K20,chr2:173075435-173268015,"MLK7, MLTK, MLTKalpha, MLTKbeta, MRK, ZAK",ENSG00000091436,Mitogen-activated protein kinase kinase kinase 20
MAP3K21,chr1:233327724-233385148,"KIAA1804, MLK4",ENSG00000143674,Mitogen-activated protein kinase kinase kinase 21
MAP3K3,chr17:63622415-63696305,"MAPKKK3, MEKK3",ENSG00000198909,Mitogen-activated protein kinase kinase kinase 3
MAP3K4,chr6:160991727-161117385,"KIAA0213, MAPKKK4, MEKK4, MTK1",ENSG00000085511,Mitogen-activated protein kinase kinase kinase 4
MAP3K5,chr6:136557046-136793097,"ASK1, MAPKKK5, MEKK5",ENSG00000197442,Mitogen-activated protein kinase kinase kinase 5
MAP3K6,chr1:27355184-27366961,"ASK2, MAPKKK6, MEKK6",ENSG00000142733,Mitogen-activated protein kinase kinase kinase 6
MAP3K7,chr6:90513573-90587086,"MEKK7, TAK1",ENSG00000135341,Mitogen-activated protein kinase kinase kinase 7
MAP3K7CL,chr21:29077471-29175889,"C21orf7, TAK1L, TAKL, TAKL-1, TAKL-2, TAKL-4",ENSG00000156265,MAP3K7 C-terminal like
MAP3K8,chr10:30434021-30461833,"c-COT, COT, EST, ESTF, MEKK8, Tpl-2",ENSG00000107968,Mitogen-activated protein kinase kinase kinase 8
MAP3K9,chr14:70722526-70809534,"MEKK9, MLK1, PRKE1",ENSG00000006432,Mitogen-activated protein kinase kinase kinase 9
MAP4,chr3:47850690-48089272,NA,ENSG00000047849,Microtubule associated protein 4
MAP4K1,chr19:38587641-38618882,HPK1,ENSG00000104814,Mitogen-activated protein kinase kinase kinase kinase 1
MAP4K2,chr11:64784918-64803241,"BL44, GCK, RAB8IP",ENSG00000168067,Mitogen-activated protein kinase kinase kinase kinase 2
MAP4K3,chr2:39249266-39437301,"GLK, MAPKKKK3, RAB8IPL1",ENSG00000011566,Mitogen-activated protein kinase kinase kinase kinase 3
MAP4K4,chr2:101696850-101894690,"FLH21957, HGK, NIK",ENSG00000071054,Mitogen-activated protein kinase kinase kinase kinase 4
MAP4K5,chr14:50418501-50561126,"GCKR, KHS, KHS1",ENSG00000012983,Mitogen-activated protein kinase kinase kinase kinase 5
MAP6,chr11:75586918-75669038,"FLJ41346, KIAA1878, MAP6-N, STOP",ENSG00000171533,Microtubule associated protein 6
MAP6D1,chr3:183815922-183825594,"FLJ12748, SL21",ENSG00000180834,MAP6 domain containing 1
MAP7,chr6:136342281-136550819,E-MAP-115,ENSG00000135525,Microtubule associated protein 7
MAP7D1,chr1:36155579-36180849,"FLJ10350, FLJ39022, PARCC1, RPRC1",ENSG00000116871,MAP7 domain containing 1
MAP7D2,chrX:20006713-20116907,FLJ14503,ENSG00000184368,MAP7 domain containing 2
MAP7D3,chrX:136213220-136256482,FLJ12649,ENSG00000129680,MAP7 domain containing 3
MAP9,chr4:155342658-155376970,"ASAP, FLJ21159",ENSG00000164114,Microtubule associated protein 9
MAPK1,chr22:21759657-21867680,"ERK, ERK2, MAPK2, p41mapk, PRKM1, PRKM2",ENSG00000100030,Mitogen-activated protein kinase 1
MAPK10,chr4:85990007-86594625,"JNK3, p493F12, p54bSAPK, PRKM10",ENSG00000109339,Mitogen-activated protein kinase 10
MAPK11,chr22:50263713-50270767,"p38-2, p38Beta, PRKM11, SAPK2",ENSG00000185386,Mitogen-activated protein kinase 11
MAPK12,chr22:50245450-50261716,"ERK6, p38gamma, PRKM12, SAPK-3, SAPK3",ENSG00000188130,Mitogen-activated protein kinase 12
MAPK13,chr6:36127809-36144524,"p38delta, PRKM13, SAPK4",ENSG00000156711,Mitogen-activated protein kinase 13
MAPK14,chr6:36027782-36111236,"CSBP1, CSBP2, CSPB1, Mxi2, p38, PRKM14, PRKM15",ENSG00000112062,Mitogen-activated protein kinase 14
MAPK15,chr8:143716340-143722458,"ERK7, ERK8",ENSG00000181085,Mitogen-activated protein kinase 15
MAPK1IP1L,chr14:55051647-55070194,C14orf32,ENSG00000168175,Mitogen-activated protein kinase 1 interacting protein 1 like
MAPK3,chr16:30114105-30123506,"ERK1, p44erk1, p44mapk, PRKM3",ENSG00000102882,Mitogen-activated protein kinase 3
MAPK4,chr18:50560087-50731826,"Erk3-related, Erk4, PRKM4",ENSG00000141639,Mitogen-activated protein kinase 4
MAPK6,chr15:51952106-52067375,"ERK3, HsT17250, p97MAPK, PRKM6",ENSG00000069956,Mitogen-activated protein kinase 6
MAPK7,chr17:19377721-19383544,"BMK1, ERK5, PRKM7",ENSG00000166484,Mitogen-activated protein kinase 7
MAPK8,chr10:48306639-48439360,"JNK, JNK1, PRKM8, SAPK1",ENSG00000107643,Mitogen-activated protein kinase 8
MAPK8IP1,chr11:45885651-45906465,"IB1, JIP-1, JIP1, PRKM8IP",ENSG00000121653,Mitogen-activated protein kinase 8 interacting protein 1
MAPK8IP2,chr22:50600793-50613981,"IB2, JIP2, PRKM8IPL",ENSG00000008735,Mitogen-activated protein kinase 8 interacting protein 2
MAPK8IP3,chr16:1706166-1770351,"JIP3, JSAP1, KIAA1066, syd",ENSG00000138834,Mitogen-activated protein kinase 8 interacting protein 3
MAPK9,chr5:180233143-180292099,"JNK2, p54a, PRKM9, SAPK",ENSG00000050748,Mitogen-activated protein kinase 9
MAPKAP1,chr9:125437393-125707234,"MGC2745, MIP1, SIN1",ENSG00000119487,MAPK associated protein 1
MAPKAPK2,chr1:206684905-206734281,MK2,ENSG00000162889,MAPK activated protein kinase 2
MAPKAPK3,chr3:50611520-50649291,"3pK, MAPKAP3, MK-3, MK3",ENSG00000114738,MAPK activated protein kinase 3
MAPKAPK5,chr12:111842228-111902222,"MK5, PRAK",ENSG00000089022,MAPK activated protein kinase 5
MAPKBP1,chr15:41774434-41827855,"KIAA0596, NPHP20",ENSG00000137802,Mitogen-activated protein kinase binding protein 1
MAPRE1,chr20:32819954-32850405,EB1,ENSG00000101367,Microtubule associated protein RP/EB family member 1
MAPRE2,chr18:34976928-35143470,"EB1, EB2, RP1",ENSG00000166974,Microtubule associated protein RP/EB family member 2
MAPRE3,chr2:26970637-27027219,"EB3, RP3",ENSG00000084764,Microtubule associated protein RP/EB family member 3
MAPT,chr17:45894527-46028334,"DDPAC, FLJ31424, FTDP-17, MAPTL, MGC138549, MSTD, MTBT1, MTBT2, PPND, PPP1R103, tau, tau-40",ENSG00000186868,Microtubule associated protein tau
MARCHF1,chr4:163524298-164384050,"FLJ20668, MARCH-I, MARCH1, RNF171",ENSG00000145416,Membrane associated ring-CH-type finger 1
MARCHF10,chr17:62701314-62808344,"FLJ35757, MARCH-X, MARCH10, RNF190",ENSG00000173838,Membrane associated ring-CH-type finger 10
MARCHF11,chr5:16067139-16180762,"MARCH-XI, MARCH11, RNF226",ENSG00000183654,Membrane associated ring-CH-type finger 11
MARCHF2,chr19:8413270-8439017,"HSPC240, MARCH-II, MARCH2, RNF172",ENSG00000099785,Membrane associated ring-CH-type finger 2
MARCHF3,chr5:126867714-127030558,"MARCH-III, MARCH3, MGC48332, RNF173",ENSG00000173926,Membrane associated ring-CH-type finger 3
MARCHF4,chr2:216257865-216372483,"KIAA1399, MARCH-IV, MARCH4, RNF174",ENSG00000144583,Membrane associated ring-CH-type finger 4
